orignal_video_path,fake_video_path,original_label,fake_label,pair_id
faceframes\real\video1.mp4,faceframes\fake\fakevideo1.mp4,1,0,video1
faceframes\real\video10.mp4,faceframes\fake\fakevideo10.mp4,1,0,video10
faceframes\real\video100.mp4,faceframes\fake\fakevideo100.mp4,1,0,video100
faceframes\real\video1000.mp4,faceframes\fake\fakevideo1000.mp4,1,0,video1000
faceframes\real\video101.mp4,faceframes\fake\fakevideo101.mp4,1,0,video101
faceframes\real\video102.mp4,faceframes\fake\fakevideo102.mp4,1,0,video102
faceframes\real\video103.mp4,faceframes\fake\fakevideo103.mp4,1,0,video103
faceframes\real\video104.mp4,faceframes\fake\fakevideo104.mp4,1,0,video104
faceframes\real\video105.mp4,faceframes\fake\fakevideo105.mp4,1,0,video105
faceframes\real\video106.mp4,faceframes\fake\fakevideo106.mp4,1,0,video106
faceframes\real\video107.mp4,faceframes\fake\fakevideo107.mp4,1,0,video107
faceframes\real\video108.mp4,faceframes\fake\fakevideo108.mp4,1,0,video108
faceframes\real\video109.mp4,faceframes\fake\fakevideo109.mp4,1,0,video109
faceframes\real\video11.mp4,faceframes\fake\fakevideo11.mp4,1,0,video11
faceframes\real\video110.mp4,faceframes\fake\fakevideo110.mp4,1,0,video110
faceframes\real\video111.mp4,faceframes\fake\fakevideo111.mp4,1,0,video111
faceframes\real\video112.mp4,faceframes\fake\fakevideo112.mp4,1,0,video112
faceframes\real\video113.mp4,faceframes\fake\fakevideo113.mp4,1,0,video113
faceframes\real\video114.mp4,faceframes\fake\fakevideo114.mp4,1,0,video114
faceframes\real\video115.mp4,faceframes\fake\fakevideo115.mp4,1,0,video115
faceframes\real\video116.mp4,faceframes\fake\fakevideo116.mp4,1,0,video116
faceframes\real\video117.mp4,faceframes\fake\fakevideo117.mp4,1,0,video117
faceframes\real\video118.mp4,faceframes\fake\fakevideo118.mp4,1,0,video118
faceframes\real\video119.mp4,faceframes\fake\fakevideo119.mp4,1,0,video119
faceframes\real\video12.mp4,faceframes\fake\fakevideo12.mp4,1,0,video12
faceframes\real\video120.mp4,faceframes\fake\fakevideo120.mp4,1,0,video120
faceframes\real\video121.mp4,faceframes\fake\fakevideo121.mp4,1,0,video121
faceframes\real\video122.mp4,faceframes\fake\fakevideo122.mp4,1,0,video122
faceframes\real\video123.mp4,faceframes\fake\fakevideo123.mp4,1,0,video123
faceframes\real\video124.mp4,faceframes\fake\fakevideo124.mp4,1,0,video124
faceframes\real\video125.mp4,faceframes\fake\fakevideo125.mp4,1,0,video125
faceframes\real\video126.mp4,faceframes\fake\fakevideo126.mp4,1,0,video126
faceframes\real\video127.mp4,faceframes\fake\fakevideo127.mp4,1,0,video127
faceframes\real\video128.mp4,faceframes\fake\fakevideo128.mp4,1,0,video128
faceframes\real\video129.mp4,faceframes\fake\fakevideo129.mp4,1,0,video129
faceframes\real\video13.mp4,faceframes\fake\fakevideo13.mp4,1,0,video13
faceframes\real\video130.mp4,faceframes\fake\fakevideo130.mp4,1,0,video130
faceframes\real\video131.mp4,faceframes\fake\fakevideo131.mp4,1,0,video131
faceframes\real\video132.mp4,faceframes\fake\fakevideo132.mp4,1,0,video132
faceframes\real\video133.mp4,faceframes\fake\fakevideo133.mp4,1,0,video133
faceframes\real\video134.mp4,faceframes\fake\fakevideo134.mp4,1,0,video134
faceframes\real\video135.mp4,faceframes\fake\fakevideo135.mp4,1,0,video135
faceframes\real\video136.mp4,faceframes\fake\fakevideo136.mp4,1,0,video136
faceframes\real\video137.mp4,faceframes\fake\fakevideo137.mp4,1,0,video137
faceframes\real\video138.mp4,faceframes\fake\fakevideo138.mp4,1,0,video138
faceframes\real\video139.mp4,faceframes\fake\fakevideo139.mp4,1,0,video139
faceframes\real\video14.mp4,faceframes\fake\fakevideo14.mp4,1,0,video14
faceframes\real\video140.mp4,faceframes\fake\fakevideo140.mp4,1,0,video140
faceframes\real\video141.mp4,faceframes\fake\fakevideo141.mp4,1,0,video141
faceframes\real\video142.mp4,faceframes\fake\fakevideo142.mp4,1,0,video142
faceframes\real\video143.mp4,faceframes\fake\fakevideo143.mp4,1,0,video143
faceframes\real\video144.mp4,faceframes\fake\fakevideo144.mp4,1,0,video144
faceframes\real\video145.mp4,faceframes\fake\fakevideo145.mp4,1,0,video145
